id;nom
1;activités pratiques
2;apports théoriques
3;échanges de connaissances
4;cas concrets
5;travail sur le cas de l'exploitation où se déroule la formation
6;compléments théoriques
7;analyse des pratiques des éleveurs
8;mise en pratique sur les animaux de l'élevage
